id,43
photo,75115.jpg
web_name,Wilson
team_code,91
status,d
code,75115
first_name,Callum
second_name,Wilson
squad_number,13
news,Lack of match fitness - 75% chance of playing
now_cost,63
news_added,2019-01-09T14:31:17Z
chance_of_playing_this_round,75
chance_of_playing_next_round,75
value_form,0.0
value_season,18.1
cost_change_start,3
cost_change_event,0
cost_change_start_fall,-3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,5
selected_by_percent,10.1
form,0.0
transfers_out,3159349
transfers_in,3322083
transfers_out_event,1646
transfers_in_event,1667
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,114
event_points,0
points_per_game,5.4
ep_this,-0.8
ep_next,0.4
special,False
minutes,1726
goals_scored,10
assists,8
clean_sheets,6
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,3
red_cards,0
saves,0
bonus,14
bps,367
influence,490.2
creativity,314.8
threat,753.0
ict_index,155.5
ea_index,0
element_type,4
team,2
