id,368
photo,157668.jpg
web_name,Winks
team_code,6
status,d
code,157668
first_name,Harry
second_name,Winks
squad_number,8
news,Hip injury - 75% chance of playing
now_cost,55
news_added,2019-03-01T13:31:22Z
chance_of_playing_this_round,75
chance_of_playing_next_round,75
value_form,0.3
value_season,9.5
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,1.8
transfers_out,18492
transfers_in,29093
transfers_out_event,397
transfers_in_event,9
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,52
event_points,0
points_per_game,2.1
ep_this,1.7
ep_next,2.5
special,False
minutes,1568
goals_scored,1
assists,0
clean_sheets,6
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,3
bps,271
influence,265.4
creativity,167.4
threat,71.0
ict_index,50.3
ea_index,0
element_type,3
team,17
