id,17
photo,84450.jpg
web_name,Xhaka
team_code,3
status,a
code,84450
first_name,Granit
second_name,Xhaka
squad_number,34
news,
now_cost,52
news_added,2019-02-03T16:31:23Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,13.3
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.3
form,0.8
transfers_out,353396
transfers_in,219904
transfers_out_event,227
transfers_in_event,196
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,69
event_points,1
points_per_game,2.9
ep_this,0.3
ep_next,0.8
special,False
minutes,2062
goals_scored,3
assists,2
clean_sheets,5
goals_conceded,30
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,8
red_cards,0
saves,0
bonus,5
bps,366
influence,512.8
creativity,500.6
threat,165.0
ict_index,118.0
ea_index,0
element_type,3
team,1
