id,293
photo,18892.jpg
web_name,Young
team_code,1
status,a
code,18892
first_name,Ashley
second_name,Young
squad_number,18
news,
now_cost,57
news_added,2018-12-02T17:01:15Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.8
value_season,11.8
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.0
form,4.4
transfers_out,173128
transfers_in,156075
transfers_out_event,574
transfers_in_event,409
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,67
event_points,1
points_per_game,3.0
ep_this,5.4
ep_next,4.4
special,False
minutes,1927
goals_scored,2
assists,3
clean_sheets,4
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,3
bps,358
influence,422.8
creativity,501.2
threat,104.0
ict_index,102.9
ea_index,0
element_type,2
team,14
