id,405
photo,20658.jpg
web_name,Zabaleta
team_code,21
status,a
code,20658
first_name,Pablo
second_name,Zabaleta
squad_number,5
news,
now_cost,43
news_added,2018-12-27T20:31:17Z
chance_of_playing_this_round,75
chance_of_playing_next_round,75
value_form,0.1
value_season,11.4
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,2.0
form,0.6
transfers_out,220077
transfers_in,136997
transfers_out_event,321
transfers_in_event,71
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,49
event_points,0
points_per_game,2.3
ep_this,0.4
ep_next,0.8
special,False
minutes,1680
goals_scored,0
assists,1
clean_sheets,4
goals_conceded,26
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,4
bps,301
influence,369.0
creativity,126.4
threat,78.0
ict_index,57.5
ea_index,0
element_type,2
team,19
