id,512
photo,203325.jpg
web_name,Zambo Anguissa
team_code,54
status,a
code,203325
first_name,André-Frank
second_name,Zambo Anguissa
squad_number,29
news,
now_cost,44
news_added,2019-01-28T13:31:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,4.1
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.6
transfers_out,16090
transfers_in,11308
transfers_out_event,3
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,18
event_points,0
points_per_game,1.4
ep_this,-0.4
ep_next,0.1
special,False
minutes,771
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,20
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,1
saves,0
bonus,0
bps,112
influence,144.2
creativity,60.7
threat,74.0
ict_index,27.9
ea_index,0
element_type,3
team,9
