id,120
photo,105700.jpg
web_name,Zappacosta
team_code,8
status,a
code,105700
first_name,Davide
second_name,Zappacosta
squad_number,21
news,
now_cost,50
news_added,2019-02-24T20:01:23Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,0.4
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,15032
transfers_in,3883
transfers_out_event,7
transfers_in_event,10
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,2
event_points,0
points_per_game,1.0
ep_this,1.0
ep_next,0.5
special,False
minutes,18
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,5
influence,3.8
creativity,0.4
threat,21.0
ict_index,2.5
ea_index,0
element_type,2
team,6
