id,526
photo,103192.jpg
web_name,Zouma
team_code,11
status,a
code,103192
first_name,Kurt
second_name,Zouma
squad_number,5
news,
now_cost,50
news_added,2019-02-09T17:31:22Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,12.4
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.5
form,-0.2
transfers_out,75564
transfers_in,91913
transfers_out_event,111
transfers_in_event,28
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,62
event_points,0
points_per_game,2.7
ep_this,-1.2
ep_next,-0.2
special,False
minutes,1803
goals_scored,1
assists,2
clean_sheets,4
goals_conceded,32
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,1
saves,0
bonus,7
bps,334
influence,397.0
creativity,76.8
threat,138.0
ict_index,61.5
ea_index,0
element_type,2
team,8
