id,393
photo,212319.jpg
web_name,Richarlison
team_code,11
status,a
code,212319
first_name,Richarlison
second_name,de Andrade
squad_number,30
news,
now_cost,65
news_added,2018-11-11T18:31:15Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,18.0
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,18.1
form,1.6
transfers_out,3820884
transfers_in,3773793
transfers_out_event,4202
transfers_in_event,1522
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,117
event_points,0
points_per_game,4.5
ep_this,0.6
ep_next,1.6
special,False
minutes,2029
goals_scored,10
assists,2
clean_sheets,7
goals_conceded,33
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,1
saves,0
bonus,11
bps,289
influence,525.4
creativity,221.9
threat,852.0
ict_index,158.8
ea_index,0
element_type,3
team,8
