id,454
photo,38533.jpg
web_name,Patrício
team_code,39
status,a
code,38533
first_name,Rui Pedro
second_name,dos Santos Patrício
squad_number,11
news,
now_cost,45
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.4
value_season,20.2
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,8.9
form,1.8
transfers_out,469677
transfers_in,628838
transfers_out_event,3080
transfers_in_event,402
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,91
event_points,0
points_per_game,3.3
ep_this,2.3
ep_next,1.3
special,False
minutes,2520
goals_scored,0
assists,0
clean_sheets,6
goals_conceded,35
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,81
bonus,4
bps,457
influence,565.4
creativity,0.0
threat,0.0
ict_index,56.2
ea_index,0
element_type,1
team,20
