id,246
photo,97032.jpg
web_name,van Dijk
team_code,14
status,a
code,97032
first_name,Virgil
second_name,van Dijk
squad_number,4
news,
now_cost,66
news_added,2019-01-25T15:31:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,1.1
value_season,23.7
cost_change_start,6
cost_change_event,1
cost_change_start_fall,-6
cost_change_event_fall,-1
in_dreamteam,True
dreamteam_count,3
selected_by_percent,29.5
form,7.0
transfers_out,941179
transfers_in,1479200
transfers_out_event,596
transfers_in_event,6094
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,154
event_points,0
points_per_game,5.5
ep_this,8.0
ep_next,8.0
special,False
minutes,2484
goals_scored,3
assists,3
clean_sheets,15
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,15
bps,691
influence,741.2
creativity,69.5
threat,382.0
ict_index,119.4
ea_index,0
element_type,2
team,12
