id,13
photo,37605.jpg
web_name,Özil
team_code,3
status,a
code,37605
first_name,Mesut
second_name,Özil
squad_number,10
news,
now_cost,79
news_added,2019-02-09T17:01:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,8.9
cost_change_start,-6
cost_change_event,0
cost_change_start_fall,6
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,2.4
form,2.8
transfers_out,600349
transfers_in,425912
transfers_out_event,478
transfers_in_event,257
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,70
event_points,1
points_per_game,4.1
ep_this,2.3
ep_next,2.8
special,False
minutes,1185
goals_scored,4
assists,3
clean_sheets,3
goals_conceded,16
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,9
bps,278
influence,321.4
creativity,474.3
threat,170.0
ict_index,96.6
ea_index,0
element_type,3
team,1
